STATUS,DATA,IDADE,GALPAO,LOTE,PROPRIETARIO,PRODUTIVIDADE REAL,PRODUTIVIDADE PADRAO,CONSUMO REAL,CONSUMO PADRAO,VIABILIDADE REAL,VIABILIDADE PADRAO,PESO REAL,PESO PADRAO
ATIVO,21/04/2025,3,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.069,0.020,99.71%,98.85%,0.000,0.000
ATIVO,21/04/2025,22,03,BA112024,BA (Bruno/Alex),107.63%,86.75%,0.128,0.103,98.16%,99.55%,0.000,0.000
ATIVO,21/04/2025,48,04,CA052024,Carlos,96.21%,94.40%,0.135,0.110,93.22%,97.40%,1.581,1.663
ATIVO,21/04/2025,66,05,CA012024,Carlos,89.56%,89.30%,0.128,0.110,79.63%,95.90%,0.000,0.000
ATIVO,21/04/2025,94,01,AL072023,Alex,89.87%,79.30%,0.122,0.115,80.54%,92.60%,0.000,0.000
ATIVO,21/04/2025,107,02,BR042023,Bruno,82.63%,76.70%,0.132,0.110,81.54%,93.00%,0.000,0.000
ATIVO,20/04/2025,3,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,99.71%,98.85%,0.000,0.000
ATIVO,20/04/2025,22,03,BA112024,BA (Bruno/Alex),107.61%,86.75%,0.000,0.000,98.16%,99.55%,0.000,0.000
ATIVO,20/04/2025,48,04,CA052024,Carlos,96.19%,94.40%,0.000,0.000,93.22%,97.40%,0.000,0.000
ATIVO,20/04/2025,66,05,CA012024,Carlos,89.56%,89.30%,0.000,0.000,79.63%,95.90%,0.000,0.000
ATIVO,20/04/2025,93,01,AL072023,Alex,89.84%,79.60%,0.000,0.000,80.54%,92.70%,0.000,0.000
ATIVO,20/04/2025,107,02,BR042023,Bruno,82.63%,76.70%,0.000,0.000,81.54%,93.00%,0.000,0.000
ATIVO,19/04/2025,3,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,99.71%,98.85%,0.000,0.000
ATIVO,19/04/2025,22,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.112,0.103,98.27%,99.55%,0.000,0.000
ATIVO,19/04/2025,48,04,CA052024,Carlos,83.41%,94.40%,0.135,0.110,93.27%,97.40%,0.000,0.000
ATIVO,19/04/2025,66,05,CA012024,Carlos,82.26%,89.30%,0.148,0.110,79.69%,95.90%,0.000,0.000
ATIVO,19/04/2025,93,01,AL072023,Alex,73.45%,79.60%,0.158,0.115,80.59%,92.70%,0.000,0.000
ATIVO,19/04/2025,107,02,BR042023,Bruno,75.21%,76.70%,0.156,0.110,81.67%,93.00%,0.000,0.000
ATIVO,18/04/2025,3,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.020,0.020,99.71%,98.85%,0.000,0.000
ATIVO,18/04/2025,22,03,BA112024,BA (Bruno/Alex),50.94%,86.75%,0.088,0.103,98.27%,99.55%,0.000,0.000
ATIVO,18/04/2025,48,04,CA052024,Carlos,86.55%,94.40%,0.109,0.110,93.27%,97.40%,0.000,0.000
ATIVO,18/04/2025,66,05,CA012024,Carlos,79.95%,89.30%,0.098,0.110,79.69%,95.90%,0.000,0.000
ATIVO,18/04/2025,93,01,AL072023,Alex,76.25%,79.60%,0.109,0.115,80.59%,92.70%,0.000,0.000
ATIVO,18/04/2025,107,02,BR042023,Bruno,72.87%,76.70%,0.120,0.110,81.67%,93.00%,0.000,0.000
ATIVO,17/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.020,0.014,99.73%,99.10%,0.119,0.120
ATIVO,17/04/2025,22,03,BA112024,BA (Bruno/Alex),61.73%,86.75%,0.080,0.103,98.27%,99.55%,0.000,0.000
ATIVO,17/04/2025,48,04,CA052024,Carlos,92.77%,94.40%,0.109,0.110,93.27%,97.40%,0.000,0.000
ATIVO,17/04/2025,65,05,CA012024,Carlos,86.76%,89.70%,0.118,0.110,79.69%,96.00%,0.000,0.000
ATIVO,17/04/2025,93,01,AL072023,Alex,81.73%,79.60%,0.109,0.115,80.61%,92.70%,0.000,0.000
ATIVO,17/04/2025,106,02,BR042023,Bruno,77.56%,76.70%,0.096,0.110,81.72%,93.00%,0.000,0.000
ATIVO,16/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.010,0.014,99.73%,99.10%,0.000,0.000
ATIVO,16/04/2025,22,03,BA112024,BA (Bruno/Alex),57.49%,86.75%,0.088,0.103,98.29%,99.55%,0.000,0.000
ATIVO,16/04/2025,48,04,CA052024,Carlos,94.74%,94.40%,0.101,0.110,93.27%,97.40%,0.000,0.000
ATIVO,16/04/2025,65,05,CA012024,Carlos,88.34%,89.70%,0.108,0.110,79.73%,96.00%,0.000,0.000
ATIVO,16/04/2025,93,01,AL072023,Alex,81.54%,79.60%,0.109,0.115,80.61%,92.70%,0.000,0.000
ATIVO,16/04/2025,106,02,BR042023,Bruno,78.40%,76.70%,0.120,0.110,81.72%,93.00%,0.000,0.000
ATIVO,15/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.010,0.014,99.73%,99.10%,0.000,0.000
ATIVO,15/04/2025,22,03,BA112024,BA (Bruno/Alex),57.51%,86.75%,0.096,0.103,98.33%,99.55%,0.000,0.000
ATIVO,15/04/2025,48,04,CA052024,Carlos,94.18%,94.40%,0.101,0.110,93.27%,97.40%,0.000,0.000
ATIVO,15/04/2025,65,05,CA012024,Carlos,86.01%,89.70%,0.079,0.110,79.73%,192.00%,0.000,0.000
ATIVO,15/04/2025,93,01,AL072023,Alex,81.61%,79.60%,0.097,0.115,80.61%,92.70%,0.000,0.000
ATIVO,15/04/2025,106,02,BR042023,Bruno,77.29%,76.70%,0.096,0.110,81.72%,93.00%,0.000,0.000
ATIVO,14/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.029,0.014,99.73%,99.10%,0.000,0.000
ATIVO,14/04/2025,21,03,BA112024,BA (Bruno/Alex),75.33%,69.50%,0.096,0.099,98.41%,99.65%,1.590,1.560
ATIVO,14/04/2025,47,04,CA052024,Carlos,97.67%,94.70%,0.126,0.110,93.29%,97.50%,0.000,0.000
ATIVO,14/04/2025,65,05,CA012024,Carlos,93.34%,89.70%,0.118,0.110,79.76%,96.00%,0.000,0.000
ATIVO,14/04/2025,93,01,AL072023,Alex,86.39%,79.60%,0.122,0.115,80.66%,92.70%,0.000,0.000
ATIVO,14/04/2025,106,02,BR042023,Bruno,84.76%,76.70%,0.120,0.110,81.84%,93.00%,0.000,0.000
ATIVO,13/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,99.73%,99.10%,0.000,0.000
ATIVO,13/04/2025,21,03,BA112024,BA (Bruno/Alex),75.33%,69.50%,0.000,0.000,98.41%,99.65%,0.000,0.000
ATIVO,13/04/2025,47,04,CA052024,Carlos,97.65%,94.70%,0.000,0.000,93.29%,97.50%,0.000,0.000
ATIVO,13/04/2025,65,05,CA012024,Carlos,93.31%,89.70%,0.000,0.000,79.76%,96.00%,0.000,0.000
ATIVO,13/04/2025,92,01,AL072023,Alex,86.33%,79.90%,0.000,0.000,80.66%,92.80%,0.000,0.000
ATIVO,13/04/2025,106,02,BR042023,Bruno,84.76%,76.70%,0.000,0.000,81.84%,93.00%,0.000,0.000
ATIVO,12/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.039,0.014,99.73%,99.10%,0.000,0.000
ATIVO,12/04/2025,21,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.104,0.099,98.45%,99.65%,0.000,0.000
ATIVO,12/04/2025,47,04,CA052024,Carlos,88.42%,94.70%,0.151,0.110,93.29%,97.50%,0.000,0.000
ATIVO,12/04/2025,65,05,CA012024,Carlos,75.57%,89.70%,0.177,0.110,79.78%,96.00%,0.000,0.000
ATIVO,12/04/2025,92,01,AL072023,Alex,69.24%,79.90%,0.206,0.115,80.71%,92.80%,0.000,0.000
ATIVO,12/04/2025,106,02,BR042023,Bruno,62.80%,76.70%,0.179,0.110,81.96%,93.00%,0.000,0.000
ATIVO,11/04/2025,2,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.010,0.014,99.73%,99.10%,0.000,0.000
ATIVO,11/04/2025,21,03,BA112024,BA (Bruno/Alex),44.85%,69.50%,0.080,0.099,98.45%,99.65%,0.000,0.000
ATIVO,11/04/2025,47,04,CA052024,Carlos,95.38%,94.70%,0.126,0.110,93.29%,97.50%,0.000,0.000
ATIVO,11/04/2025,65,05,CA012024,Carlos,89.58%,89.70%,0.108,0.110,79.78%,96.00%,0.000,0.000
ATIVO,11/04/2025,92,01,AL072023,Alex,84.09%,79.90%,0.109,0.115,80.71%,92.80%,0.000,0.000
ATIVO,11/04/2025,106,02,BR042023,Bruno,78.20%,76.70%,0.120,0.110,81.96%,93.00%,0.000,0.000
ATIVO,10/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.010,0.009,99.73%,99.40%,0.069,0.061
ATIVO,10/04/2025,21,03,BA112024,BA (Bruno/Alex),41.22%,69.50%,0.104,0.099,98.47%,99.65%,0.000,0.000
ATIVO,10/04/2025,47,04,CA052024,Carlos,95.32%,94.70%,0.126,0.110,93.33%,97.50%,0.000,0.000
ATIVO,10/04/2025,64,05,CA012024,Carlos,88.77%,90.00%,0.108,0.110,79.80%,96.10%,0.000,0.000
ATIVO,10/04/2025,92,01,AL072023,Alex,85.18%,79.90%,0.109,0.115,80.71%,92.80%,0.000,0.000
ATIVO,10/04/2025,105,02,BR042023,Bruno,78.44%,76.70%,0.084,0.110,81.96%,93.00%,0.000,0.000
ATIVO,09/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.020,0.009,99.75%,99.40%,0.000,0.000
ATIVO,09/04/2025,21,03,BA112024,BA (Bruno/Alex),36.43%,69.50%,0.080,0.099,98.55%,99.65%,0.000,0.000
ATIVO,09/04/2025,47,04,CA052024,Carlos,95.38%,94.70%,0.118,0.110,93.35%,97.50%,0.000,0.000
ATIVO,09/04/2025,64,05,CA012024,Carlos,89.42%,90.00%,0.108,0.110,79.86%,96.10%,1.665,1.679
ATIVO,09/04/2025,92,01,AL072023,Alex,85.93%,79.90%,0.109,0.115,80.81%,92.80%,0.000,0.000
ATIVO,09/04/2025,105,02,BR042023,Bruno,80.09%,76.70%,0.120,0.110,81.99%,93.00%,0.000,0.000
ATIVO,08/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.010,0.009,99.75%,99.40%,0.000,0.000
ATIVO,08/04/2025,21,03,BA112024,BA (Bruno/Alex),35.25%,69.50%,0.095,0.099,98.63%,99.65%,0.000,0.000
ATIVO,08/04/2025,47,04,CA052024,Carlos,93.41%,94.70%,0.126,0.110,93.37%,97.50%,0.000,0.000
ATIVO,08/04/2025,64,05,CA012024,Carlos,87.24%,90.00%,0.108,0.110,79.92%,96.10%,0.000,0.000
ATIVO,08/04/2025,92,01,AL072023,Alex,84.85%,79.90%,0.097,0.115,80.91%,92.80%,0.000,0.000
ATIVO,08/04/2025,105,02,BR042023,Bruno,79.35%,76.70%,0.096,0.110,82.01%,93.00%,0.000,0.000
ATIVO,07/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,99.85%,99.40%,0.000,0.000
ATIVO,07/04/2025,20,03,BA112024,BA (Bruno/Alex),45.71%,43.05%,0.103,0.095,98.63%,99.75%,1.568,1.495
ATIVO,07/04/2025,46,04,CA052024,Carlos,97.38%,94.90%,0.168,0.110,93.39%,97.60%,0.000,0.000
ATIVO,07/04/2025,64,05,CA012024,Carlos,94.46%,90.00%,0.088,0.110,79.94%,96.10%,0.000,0.000
ATIVO,07/04/2025,92,01,AL072023,Alex,85.52%,79.90%,0.109,0.115,80.93%,92.80%,0.000,0.000
ATIVO,07/04/2025,105,02,BR042023,Bruno,80.28%,76.70%,0.155,0.110,82.03%,93.00%,0.000,0.000
ATIVO,06/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,99.85%,99.40%,0.000,0.000
